gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000023445.14_BIRC3,2065.482494,1.821876381,0.110486322,16.48961021,4.36E-61,5.36E-57
ENSG00000146232.16_NFKBIE,1191.861716,1.142771717,0.074727532,15.29251247,8.58E-53,5.27E-49
ENSG00000056558.11_TRAF1,633.4970641,1.48833746,0.099494435,14.95900205,1.36E-50,5.58E-47
ENSG00000095752.7_IL11,432.920555,1.509991922,0.10528637,14.34176073,1.20E-46,3.69E-43
ENSG00000124225.16_PMEPA1,2042.483785,0.748142693,0.052366481,14.28667107,2.65E-46,6.52E-43
ENSG00000169429.11_CXCL8,437.3301569,1.863334122,0.139727514,13.33548467,1.44E-40,2.95E-37
ENSG00000104856.14_RELB,513.8137385,1.29866631,0.109868848,11.82015039,3.07E-32,5.39E-29
ENSG00000122861.16_PLAU,8355.476286,0.559869921,0.048076336,11.64543664,2.42E-31,3.72E-28
ENSG00000077150.19_NFKB2,1889.780468,0.899597973,0.0786385,11.43966346,2.65E-30,3.62E-27
ENSG00000128342.5_LIF,1012.879358,0.841233696,0.077632243,10.83613803,2.32E-27,2.85E-24
ENSG00000164400.6_CSF2,356.2836065,1.621994142,0.151021382,10.74016222,6.59E-27,7.37E-24
ENSG00000114812.13_VIPR1,552.9281303,0.956633825,0.092094673,10.38750449,2.83E-25,2.90E-22
ENSG00000100906.10_NFKBIA,1144.429964,0.715484966,0.072516893,9.866459216,5.82E-23,5.50E-20
ENSG00000013441.16_CLK1,838.8343307,1.001622225,0.101677429,9.850979065,6.79E-23,5.96E-20
ENSG00000118707.10_TGIF2,570.1350019,0.869316193,0.090212743,9.636290472,5.62E-22,4.61E-19
ENSG00000124496.12_TRERF1,1208.112661,-0.931849883,0.099011757,-9.411507408,4.89E-21,3.76E-18
ENSG00000040633.13_PHF23,898.7393322,0.735543441,0.079528327,9.248823268,2.27E-20,1.64E-17
ENSG00000174136.12_RGMB,1746.210721,0.593220011,0.06582334,9.01230488,2.02E-19,1.38E-16
ENSG00000146112.12_PPP1R18,3975.268222,0.487118271,0.054403344,8.953829513,3.43E-19,2.22E-16
ENSG00000197622.13_CDC42SE1,1420.496085,0.473895335,0.055062778,8.606455233,7.54E-18,4.63E-15
ENSG00000023608.5_SNAPC1,1747.517829,0.634649657,0.075210012,8.438366688,3.22E-17,1.88E-14
ENSG00000134954.14_ETS1,3341.795701,0.624228432,0.074745168,8.351421869,6.74E-17,3.77E-14
ENSG00000163739.4_CXCL1,70.69850736,2.186126977,0.262349617,8.332876561,7.89E-17,4.22E-14
ENSG00000114268.12_PFKFB4,329.053807,-1.135856177,0.136752504,-8.305925988,9.90E-17,5.07E-14
ENSG00000069399.15_BCL3,302.2379884,1.254631613,0.151827994,8.26350649,1.41E-16,6.96E-14
ENSG00000103257.9_SLC7A5,7498.697174,0.478798343,0.058183612,8.229092841,1.89E-16,8.92E-14
ENSG00000106366.8_SERPINE1,19531.67059,0.364048731,0.044428368,8.194060353,2.53E-16,1.15E-13
ENSG00000171223.6_JUNB,800.3910433,0.971321074,0.118888453,8.170020326,3.08E-16,1.35E-13
ENSG00000129521.13_EGLN3,226.3029734,-1.194401877,0.146923145,-8.129433115,4.31E-16,1.83E-13
ENSG00000148677.6_ANKRD1,5625.335292,0.50125759,0.06182408,8.107805034,5.15E-16,2.11E-13
ENSG00000148426.13_PROSER2,771.5080821,0.646766137,0.080203398,8.064073987,7.38E-16,2.84E-13
ENSG00000164442.10_CITED2,944.8792792,-0.858783673,0.106490875,-8.064387436,7.36E-16,2.84E-13
ENSG00000184635.15_ZNF93,195.3233761,-1.117017311,0.142682531,-7.828690055,4.93E-15,1.84E-12
ENSG00000140465.14_CYP1A1,179.6674473,1.153836766,0.149581157,7.713784201,1.22E-14,4.42E-12
ENSG00000118503.15_TNFAIP3,243.9451109,0.970269884,0.128631989,7.542990615,4.59E-14,1.61E-11
ENSG00000166483.11_WEE1,647.4748732,-0.727629374,0.096627199,-7.530274931,5.06E-14,1.73E-11
ENSG00000183864.5_TOB2,490.4867189,0.824650908,0.110893595,7.43641602,1.03E-13,3.44E-11
ENSG00000177426.20_TGIF1,917.7498392,0.641194135,0.08633458,7.426851842,1.11E-13,3.60E-11
